game_date,home_team,away_team,home_score,away_score
2024-11-16,Rochester NY FC,New York SC,0,0
2024-11-16,IFA,NEFC,0,0
2024-11-16,Downtown United Soccer Club,New York City FC,0,0
2024-11-16,Valeo Futbol Club,Seacoast United,0,0
2024-11-16,Beachside of Connecticut,Metropolitan Oval,0,0
2024-11-16,FC Greater Boston Bolts,Cedar Stars Academy Bergen,0,0
2024-11-16,Oakwood Soccer Club,New England Revolution,0,0
2024-11-16,Bayside FC,FC Westchester,0,0
2024-11-17,Valeo Futbol Club,NEFC,0,0
2024-11-17,IFA,Cedar Stars Academy Bergen,0,0
2024-11-17,Seacoast United,FC Greater Boston Bolts,0,0
2024-11-17,Metropolitan Oval,Long Island Soccer Club,0,0
2024-11-17,Rochester NY FC,Downtown United Soccer Club,0,0
2024-11-17,FC Westchester,New England Revolution,0,0
